age,monthly_income,previous_purchases,membership_type,months_inactive,support_tickets,churned
22,3000,2,Basic,5,3,1
45,7000,8,Premium,1,0,0
31,5000,6,Basic,2,1,0
52,4500,3,Basic,6,4,1
27,9000,12,VIP,0,0,0
40,6000,7,Premium,1,1,0
36,3500,4,Basic,4,2,1
29,8000,10,VIP,0,0,0
48,10000,9,VIP,1,0,0
33,5500,5,Premium,3,2,1
38,6500,7,Premium,1,0,0
26,4200,3,Basic,5,3,1
41,7200,8,Premium,2,1,0
30,8800,11,VIP,0,0,0
55,7500,6,Premium,4,3,1
24,3600,2,Basic,6,4,1
44,11000,13,VIP,0,0,0
35,5800,6,Basic,2,1,0
50,9200,10,VIP,1,0,0
28,4800,4,Premium,4,2,1
47,6800,7,Premium,3,2,1
32,7600,9,VIP,1,0,0
39,5200,5,Basic,5,3,1
43,8400,10,Premium,1,1,0
25,3900,2,Basic,7,5,1
51,9800,12,VIP,0,0,0
34,6100,6,Premium,2,1,0
46,4300,3,Basic,6,4,1
37,7900,9,VIP,1,0,0
29,4700,4,Basic,4,3,1
53,8600,8,Premium,2,1,0
23,3300,1,Basic,7,4,1
42,7300,8,Premium,1,0,0
31,6900,7,VIP,2,1,0
49,5100,4,Basic,5,3,1
