waiting_time_minutes,previous_contacts,customer_tenure_months,channel,plan_type,issue_type,satisfaction_score,escalated
8,5,22,Phone,Basic,Technical,2.0,1
54,1,54,Phone,Standard,Account,5.0,0
46,5,30,Chat,Premium,Account,1.0,0
32,0,42,Phone,Premium,Billing,5.0,0
32,5,27,Email,Basic,Account,3.0,0
60,5,16,Email,Standard,Technical,1.0,1
8,5,46,Email,Standard,Billing,2.0,0
49,4,58,Chat,Basic,Technical,3.0,1
16,3,16,Phone,Basic,Account,,0
9,4,46,Chat,Basic,Account,1.0,0
38,1,16,Chat,Premium,Account,4.0,0
68,5,43,Chat,Premium,Technical,4.0,0
52,3,47,Chat,Premium,Account,1.0,0
53,3,27,Chat,Premium,Technical,2.0,0
51,3,44,Chat,Premium,Account,2.0,0
55,3,17,Phone,Basic,Technical,4.0,0
37,0,5,Phone,Premium,Billing,4.0,0
11,0,6,Chat,Basic,Billing,4.0,0
59,1,27,Chat,Standard,Billing,5.0,0
33,0,54,Email,,Billing,4.0,0
36,3,8,Phone,Standard,Technical,2.0,0
27,4,27,Phone,Basic,Technical,1.0,1
15,4,42,Phone,Basic,Billing,4.0,0
65,3,12,Email,Premium,Technical,5.0,0
55,5,43,Email,Basic,Technical,5.0,0
46,3,19,Chat,Basic,Billing,2.0,0
29,0,48,Phone,Premium,Technical,2.0,1
58,5,35,Phone,Basic,Technical,1.0,1
39,4,33,Chat,Premium,Technical,1.0,1
32,4,11,Phone,Premium,Technical,3.0,1
33,3,28,Chat,Standard,Account,3.0,0
18,3,51,Phone,Basic,Billing,2.0,1
9,0,2,Phone,Basic,Technical,2.0,0
40,3,45,Chat,Basic,Technical,5.0,0
62,5,30,Email,Standard,Billing,3.0,0
7,2,43,Chat,Basic,Account,5.0,0
60,4,40,Email,Standard,Billing,5.0,0
58,0,26,Phone,Basic,Billing,,1
21,2,19,Chat,Standard,Account,2.0,0
45,3,38,Email,Basic,Account,5.0,0
14,6,9,Phone,Premium,Account,4.0,0
53,1,35,Chat,Basic,Account,2.0,0
49,1,6,Chat,Basic,Account,4.0,0
26,2,39,Email,Basic,Technical,3.0,0
7,6,38,Email,Premium,Account,5.0,0
68,5,5,Email,Basic,Billing,2.0,1
32,0,45,Chat,Standard,Technical,5.0,0
62,1,25,Phone,Standard,Technical,5.0,0
48,5,47,Email,Standard,Account,1.0,0
55,0,3,Chat,Premium,Account,1.0,0
53,5,11,Phone,Premium,Technical,3.0,1
16,1,30,Phone,Standard,Technical,1.0,1
27,6,12,Email,Premium,Billing,2.0,1
34,2,20,Chat,Basic,Account,3.0,0
36,3,39,Email,Premium,Technical,5.0,1
5,4,9,Email,Standard,Technical,5.0,0
39,0,40,Chat,Premium,Account,1.0,0
13,3,7,Email,Premium,Technical,5.0,0
52,3,11,Phone,Premium,Billing,1.0,1
48,5,35,Chat,Premium,Billing,4.0,1
64,6,47,Phone,Standard,Billing,5.0,0
52,4,11,Chat,Basic,Account,5.0,0
27,2,18,Phone,Standard,Billing,2.0,0
67,2,55,Email,Basic,Billing,5.0,0
30,2,59,Chat,Premium,Technical,1.0,0
24,5,35,Phone,Basic,Account,3.0,0
63,2,27,Chat,,Technical,3.0,0
27,1,21,Email,Basic,Account,2.0,0
8,2,37,Chat,Standard,Account,1.0,0
34,0,35,Phone,Standard,Billing,4.0,0
56,0,18,Phone,Premium,Account,2.0,0
15,0,2,Phone,Standard,Technical,4.0,0
34,5,9,Email,Basic,Technical,,0
11,5,57,Email,Basic,Billing,2.0,0
48,4,25,Email,Basic,Technical,5.0,0
34,3,29,Phone,Standard,Account,1.0,1
25,5,28,Phone,Premium,Technical,4.0,0
18,1,47,Chat,Standard,Billing,4.0,0
40,6,4,Email,Premium,Technical,2.0,1
47,3,5,Chat,Basic,Account,2.0,1
66,6,17,Chat,Basic,Account,1.0,0
32,1,29,Phone,Premium,Billing,5.0,0
13,3,40,Chat,Basic,Account,5.0,0
58,4,29,Phone,Basic,Account,2.0,0
45,3,27,Email,Standard,Billing,1.0,0
49,3,56,Chat,Premium,Account,1.0,0
9,1,10,Email,Premium,Technical,1.0,0
23,2,34,Email,Basic,Technical,5.0,0
54,1,32,Phone,Premium,Technical,5.0,0
58,2,28,Email,Premium,Account,1.0,1
32,4,48,Phone,Premium,Account,4.0,0
56,4,16,Phone,Premium,Account,1.0,1
59,4,57,Phone,Basic,Account,2.0,0
28,2,20,Email,Premium,Account,3.0,0
63,6,33,Chat,Basic,Billing,4.0,0
22,0,31,Email,Premium,Billing,5.0,0
19,2,51,Chat,Standard,Account,1.0,1
48,0,26,Email,Premium,Technical,1.0,0
45,2,17,Phone,Standard,Billing,2.0,0
12,6,2,Email,Standard,Billing,2.0,0
