age,monthly_salary,years_at_company,satisfaction_score,training_hours,overtime,department,left_company
25,11485,7,4.1,25,No,IT,0
52,8940,15,2.1,8,Yes,IT,0
47,8056,2,1.4,57,No,IT,0
39,5600,2,8.0,18,No,IT,0
38,3811,7,5.4,13,No,HR,0
55,7138,8,9.9,33,No,Sales,0
25,8349,11,5.2,25,No,Finance,0
49,13450,6,9.8,5,No,HR,0
29,8865,14,4.7,49,Yes,IT,1
25,11252,7,8.1,51,No,Finance,0
42,7102,2,1.8,45,No,HR,0
60,5182,1,6.0,37,No,Sales,0
50,5798,15,8.2,24,Yes,Sales,0
51,6469,2,9.3,33,Yes,Sales,0
49,14460,15,8.4,31,No,IT,0
52,6200,4,1.3,10,No,Sales,0
42,10848,1,4.4,4,No,HR,0
26,5972,4,1.4,15,No,HR,0
54,11108,9,2.0,27,No,IT,0
39,9578,6,7.1,9,No,Finance,0
41,8061,12,7.4,6,No,IT,0
36,8386,9,8.0,51,No,HR,0
29,6667,6,8.8,22,No,IT,0
58,9749,10,7.7,35,Yes,HR,0
52,7226,15,8.2,31,No,Finance,0
47,5068,6,1.4,44,Yes,IT,0
37,4922,2,3.1,45,Yes,IT,0
54,8983,6,6.6,18,No,Finance,0
43,12921,13,8.7,51,No,IT,0
39,8948,3,1.0,22,Yes,Sales,0
39,8168,15,5.6,50,No,HR,0
30,9300,9,7.1,24,No,Sales,0
25,12157,9,1.3,6,Yes,Sales,0
43,9114,5,4.6,46,Yes,Sales,1
56,7349,14,9.1,1,Yes,IT,1
24,11598,0,7.0,47,No,HR,0
55,9701,4,3.1,2,No,IT,0
54,12800,6,8.7,12,Yes,IT,0
32,9013,7,4.1,36,No,IT,1
46,5071,7,8.7,57,Yes,HR,0
28,4669,2,3.7,24,No,IT,0
51,13123,3,6.3,7,No,HR,0
49,13326,1,4.6,14,Yes,Finance,0
35,7997,9,3.5,54,Yes,Finance,0
24,7427,5,9.0,44,No,HR,0
59,12592,9,2.7,6,No,Finance,1
39,5400,9,1.8,23,No,HR,0
56,5995,11,4.1,16,No,IT,0
48,10301,8,7.5,10,Yes,Finance,0
52,7395,10,8.3,51,Yes,Sales,0
51,8486,9,10.0,37,No,Sales,0
29,8042,10,3.7,10,Yes,HR,0
36,9445,9,4.7,39,No,HR,0
40,12441,5,2.2,25,No,Finance,0
41,8754,3,6.2,3,Yes,Sales,0
23,10303,12,10.0,27,No,Sales,0
43,3000,5,7.3,11,Yes,Sales,0
28,8364,8,6.4,14,No,Sales,0
50,6139,3,4.5,53,No,Sales,0
48,5087,6,9.2,43,No,IT,0
57,6041,8,5.5,8,No,IT,0
51,7564,10,2.2,51,No,Finance,0
36,11065,8,4.3,35,No,Sales,0
59,4786,5,1.6,53,No,HR,1
38,8586,15,2.8,45,No,Sales,0
34,7144,8,1.2,20,Yes,IT,0
57,7583,12,5.1,32,No,IT,0
36,11308,11,6.7,32,No,IT,0
24,10007,8,4.1,43,Yes,HR,0
40,12245,14,4.8,15,No,IT,0
53,8067,2,9.6,20,No,Sales,0
29,6551,14,7.8,14,Yes,HR,0
40,7873,13,5.9,18,No,HR,0
27,9179,8,3.6,9,No,IT,0
48,8994,11,9.1,2,No,IT,0
40,5464,8,3.1,57,No,IT,0
34,8753,4,3.9,4,No,IT,1
30,9139,12,9.2,54,No,IT,0
44,15549,3,5.8,0,Yes,Sales,0
48,13755,5,7.7,47,No,HR,0
58,6111,8,6.3,20,No,Sales,0
39,7695,13,6.9,31,No,Sales,0
28,4402,6,3.7,17,No,IT,0
54,6846,7,3.2,29,Yes,Finance,0
46,9384,0,3.9,27,No,Sales,0
49,11876,1,2.4,32,Yes,HR,1
25,6459,0,8.9,23,Yes,HR,0
34,6668,1,3.5,32,No,IT,0
51,3000,13,6.1,50,Yes,IT,0
54,8045,13,8.1,26,Yes,IT,0
38,5525,13,8.1,22,Yes,Sales,1
53,7018,0,4.9,8,No,HR,0
54,6045,1,5.3,21,No,Sales,0
37,8236,4,10.0,7,Yes,Finance,0
57,3578,9,7.1,11,No,Sales,0
33,4392,5,8.3,58,No,IT,0
31,14462,7,9.1,5,Yes,IT,0
48,4895,2,8.1,29,Yes,Finance,0
46,5429,11,2.7,50,No,Finance,0
27,13643,5,6.1,58,No,Sales,1
54,16634,1,1.9,8,No,IT,0
29,5220,11,6.9,9,No,Finance,0
53,7469,14,9.6,22,Yes,IT,0
22,9456,0,5.6,33,No,HR,0
53,13340,6,4.9,58,No,IT,0
52,5737,13,1.3,12,Yes,IT,0
52,7813,11,9.6,10,No,Sales,0
47,10677,13,1.9,15,No,Sales,0
40,9717,6,1.4,53,No,Sales,0
49,7447,5,3.2,1,No,Sales,0
32,8125,11,1.6,23,No,HR,0
52,4650,2,5.1,7,Yes,Sales,0
43,7833,3,5.6,9,Yes,Sales,0
39,7754,9,3.8,55,No,Sales,0
41,9150,10,1.5,0,Yes,IT,0
44,6945,1,2.0,19,Yes,Sales,0
23,9820,8,4.5,55,Yes,IT,0
27,11336,5,1.5,37,Yes,Sales,0
31,8935,8,7.3,4,No,IT,0
26,9485,15,2.9,28,No,HR,0
39,8649,1,3.7,59,No,Sales,0
48,8500,15,4.5,24,Yes,HR,0
47,6480,7,4.7,32,No,Sales,0
40,9386,12,1.0,32,No,IT,0
55,8228,6,2.0,40,No,Finance,0
44,14361,4,8.8,11,No,Sales,0
25,12905,12,1.0,51,No,Finance,0
51,9580,11,5.6,60,No,Sales,0
44,6363,2,5.4,8,Yes,Sales,0
46,5385,11,4.0,49,Yes,HR,0
44,11835,12,4.9,49,No,Sales,0
43,9236,6,8.0,45,Yes,IT,0
25,9844,14,8.6,22,No,Finance,0
43,3615,10,3.3,28,No,Finance,0
53,11097,5,3.9,51,No,HR,0
33,9772,0,3.2,9,No,Sales,0
45,5391,10,5.3,50,No,Sales,0
23,7180,3,7.1,56,Yes,Finance,0
35,9238,12,3.1,41,Yes,Sales,0
39,8647,8,4.0,20,No,Finance,0
60,7682,7,9.4,34,No,Sales,0
30,8210,2,1.4,3,Yes,IT,0
32,7794,11,5.1,56,No,Finance,0
37,8927,2,7.4,20,No,IT,0
60,12620,6,2.4,3,No,IT,0
55,3000,13,1.4,48,No,Sales,0
23,7837,14,2.2,40,No,Finance,0
31,8994,15,9.3,37,Yes,HR,0
54,9329,15,1.1,3,No,IT,0
24,7459,8,2.7,45,Yes,IT,0
55,3581,3,1.3,38,No,HR,0
32,9418,13,2.0,48,No,IT,0
57,13337,12,6.6,50,Yes,IT,0
33,4205,15,3.2,12,Yes,IT,1
38,10919,10,6.1,12,Yes,Sales,0
47,7580,2,6.3,56,No,HR,0
26,8328,8,8.6,32,No,Finance,0
43,5552,7,1.0,26,Yes,Finance,0
41,7564,13,8.7,17,No,IT,0
52,12140,6,6.6,38,No,Sales,0
60,10131,5,2.5,45,No,Sales,0
47,13350,1,8.0,0,No,IT,0
37,11797,13,8.7,33,Yes,IT,0
37,9729,12,3.3,60,Yes,IT,0
38,13383,0,9.3,17,No,IT,0
53,9729,6,5.1,17,Yes,Sales,0
34,10818,7,6.4,53,No,Finance,0
28,7670,7,9.9,3,Yes,IT,0
35,8686,14,4.3,24,Yes,Sales,0
22,6547,2,8.3,27,Yes,Finance,0
26,11271,4,3.9,48,No,Finance,0
25,5201,2,8.2,7,Yes,Finance,0
52,10691,3,6.4,26,Yes,Sales,0
50,7966,14,2.9,9,No,Finance,0
49,11779,15,4.7,48,Yes,IT,0
40,10602,0,3.9,38,No,Sales,0
49,13598,10,1.7,30,Yes,IT,1
28,10546,3,1.3,23,No,Sales,0
57,4098,3,4.1,9,Yes,Sales,0
41,8313,4,1.2,56,No,IT,0
58,5218,3,2.5,39,Yes,Finance,0
27,7049,7,7.5,19,No,IT,0
41,12731,15,7.4,25,No,IT,0
49,10285,9,7.6,44,Yes,IT,0
41,6543,11,3.9,43,Yes,Sales,1
39,5662,7,9.0,28,Yes,IT,0
28,8592,0,6.3,18,No,Sales,0
36,5094,1,2.1,40,Yes,IT,1
31,6621,4,2.3,40,No,Finance,1
33,9374,3,7.2,36,No,HR,0
48,11735,13,2.6,4,No,Sales,0
46,10205,13,5.6,28,No,Sales,0
45,3000,13,9.9,37,No,HR,0
36,9352,10,1.0,57,Yes,HR,0
59,8702,8,1.1,32,No,Sales,1
25,9659,10,9.9,20,Yes,HR,1
35,13025,6,6.3,33,No,HR,0
26,3000,10,2.1,10,No,Finance,0
35,6845,12,9.1,5,No,Sales,0
59,10155,12,8.9,41,Yes,IT,0
36,4072,9,5.8,60,No,IT,0
57,12633,0,6.6,51,No,Sales,0
41,9531,11,3.5,35,No,Sales,0
49,10870,5,1.5,2,No,Sales,0
39,6901,11,6.4,60,No,Sales,0
32,10779,8,3.7,27,No,Sales,1
51,11492,14,7.0,17,No,Finance,1
59,9152,5,8.5,54,Yes,IT,0
32,9156,14,1.2,45,Yes,IT,1
52,9257,13,6.4,45,Yes,Finance,0
32,6083,5,3.1,16,Yes,Finance,0
49,8087,7,8.9,60,No,HR,0
52,8073,8,3.3,27,No,HR,0
39,9574,12,6.5,32,No,HR,0
50,11300,11,6.0,45,No,IT,0
32,5536,13,4.6,40,No,Sales,0
25,8150,5,7.1,10,No,IT,0
25,12648,8,7.5,18,No,Sales,0
39,6418,6,6.1,22,No,HR,0
57,6198,14,7.8,57,No,IT,0
26,9066,4,9.9,43,Yes,Sales,0
39,10864,9,4.8,22,No,IT,0
49,8532,1,5.6,44,No,IT,0
29,12221,13,1.1,45,No,IT,0
50,10899,6,8.2,24,No,IT,0
33,10857,5,5.7,24,No,HR,0
53,10052,9,4.7,54,Yes,Sales,0
44,15017,7,1.8,34,Yes,Finance,0
43,7926,13,9.0,9,No,Finance,0
28,3000,8,4.6,43,Yes,IT,0
40,12992,8,7.1,35,Yes,IT,0
55,7218,1,2.3,31,No,Finance,0
22,8802,0,9.7,44,No,IT,0
51,12167,6,2.6,55,Yes,HR,0
41,4014,15,2.8,20,No,IT,0
50,4995,14,8.7,25,No,Finance,0
47,4016,10,9.2,11,Yes,Finance,0
38,6276,10,2.9,39,No,IT,0
34,9731,6,5.2,24,No,IT,0
46,9968,2,7.6,20,No,HR,0
27,9274,0,8.9,42,No,IT,0
44,4544,5,4.4,24,Yes,Sales,1
25,3000,5,5.7,28,No,Sales,0
47,8652,3,7.7,26,No,IT,0
46,7179,4,7.6,15,No,Finance,0
25,9786,0,8.0,7,No,Finance,0
51,10465,9,6.1,50,Yes,Sales,0
38,8887,14,1.9,5,Yes,Finance,0
52,10628,11,9.1,19,No,IT,0
23,9142,7,8.8,40,No,IT,0
28,9984,6,8.2,8,Yes,Sales,0
41,6527,4,1.9,39,No,HR,0
29,7997,2,2.8,44,No,IT,1
34,9051,9,7.7,40,No,IT,0
47,10797,9,1.2,18,No,Sales,0
27,7398,0,9.8,1,Yes,Finance,0
48,9959,6,4.4,54,No,IT,0
26,7756,4,7.5,19,Yes,Sales,0
28,8171,2,9.0,49,No,Finance,0
44,10823,11,4.6,12,No,Sales,0
52,3000,8,3.9,9,No,IT,0
28,4870,10,6.5,47,Yes,IT,0
33,4350,11,6.2,57,Yes,Sales,0
58,3000,15,4.7,52,No,Sales,0
60,6601,12,6.4,45,No,HR,0
44,10598,9,9.4,15,No,Sales,0
39,7702,14,5.2,55,No,Finance,0
35,9054,7,2.8,40,No,HR,0
45,11550,15,4.4,10,No,Sales,0
45,12218,12,4.5,7,Yes,Sales,0
33,8306,10,2.2,53,No,HR,0
22,12290,14,2.5,16,No,IT,0
27,8758,8,7.2,46,No,Finance,0
59,6155,11,4.1,8,Yes,Finance,0
