age,monthly_salary,years_at_company,overtime,department,satisfaction_score,training_hours,left_company
25,5200,1,Yes,Sales,2,8,1
41,9800,8,No,Engineering,4,30,0
33,7200,4,No,Finance,3,18,0
29,6100,2,Yes,Support,2,10,1
46,11500,12,No,Engineering,5,40,0
38,8700,6,Yes,Sales,3,20,0
27,5600,1,Yes,Support,1,6,1
35,7900,5,No,Finance,4,25,0
31,6800,3,Yes,Sales,2,12,1
50,12400,15,No,Engineering,5,45,0
24,4900,1,Yes,Support,2,5,1
44,10300,10,No,Finance,4,36,0
37,8400,7,No,Engineering,3,22,0
28,5900,2,Yes,Sales,1,9,1
39,9100,8,No,Support,4,28,0
32,7000,3,Yes,Finance,2,14,1
48,11800,14,No,Engineering,5,42,0
30,6400,2,Yes,Support,,11,1
36,8100,6,No,Sales,4,24,0
26,,1,Yes,Support,1,7,1
42,9600,9,No,Finance,4,32,0
34,7600,4,Yes,Sales,3,16,0
45,10900,11,No,Engineering,5,38,0
29,6200,2,Yes,Support,2,9,1
