waiting_time_minutes,previous_contacts,customer_tenure_months,channel,plan_type,issue_type,satisfaction_score,escalated
8,1,24,Chat,Premium,Billing,4,0
45,3,5,Phone,Basic,Technical,1,1
12,1,36,Email,Premium,Account,5,0
38,4,8,Phone,Basic,Billing,2,1
20,2,18,Chat,Standard,Technical,3,0
55,5,3,Phone,Basic,Technical,1,1
10,1,48,Email,Premium,Billing,5,0
30,3,12,Chat,Standard,Account,2,1
18,2,30,Phone,Premium,Technical,4,0
62,6,2,Phone,Basic,Billing,1,1
14,1,40,Chat,Premium,Account,4,0
35,4,7,Email,Basic,Technical,2,1
22,2,20,Chat,Standard,Billing,3,0
48,5,4,Phone,Basic,Account,1,1
16,1,28,Email,Premium,Technical,4,0
41,3,9,Phone,Standard,Billing,2,1
9,1,50,Chat,Premium,Account,5,0
27,2,15,Email,Standard,Technical,3,0
52,5,6,Phone,Basic,Technical,,1
19,2,22,Chat,,Billing,3,0
